,DBSCAN DB Index,OPTICS DB Index,DBSCAN Silhouette Score,OPTICS Silhouette Score,DBSCAN Calinski Harabasz Score,OPTICS Calinski Harabasz Score
abalon,1.7621578909599733,0.8064410239992846,0.45634711552366775,0.4572258717940607,2944.099823988339,2941.9276572978956
anneal,1.6437812070512676,1.7356011705984709,0.1526176300895799,0.12760377889483104,67.7618738752242,69.47224671704572
australian,1.6275750736094114,1.526823900016432,0.4211493698926939,0.2305977690186523,146.4821339676075,71.43085604999662
australiannew,1.6275750736094114,1.526823900016432,0.4211493698926939,0.2305977690186523,146.4821339676075,71.43085604999662
credit,1.728562512901562,1.7202028677431875,0.284724454657813,0.2882022179756328,134.67721115411297,137.13936989620666
echocardio,1.8673710812727349,2.086510635622544,0.34363729660659276,0.08026643696513434,14.06811493502183,15.890009933687313
ecoli,2.334183898325375,2.0596362617559434,0.28427635111799165,0.28265400298026727,76.42962389432694,91.6207739331143
flag,2.6032735836321224,1.8901345112870271,0.03831327343528729,-0.07865056621649077,14.308872292172449,9.05139458991935
flare-solar_cont,1.642363584734588,1.464867739375633,0.5733397759246575,0.6092839375945521,479.8136725541934,349.0468245404102
fourclass,7.746383897844016,3.379000627436114,-0.05416282538665959,0.10038069044734452,25.65915726526909,127.03280863555477
german,2.7194920504061457,2.51374022837751,0.05083191413536094,-0.029691947730212526,60.39623311846282,49.323599338129114
glass,1.7584157697476666,2.074147837647009,0.5062489445895286,0.49151781763365765,79.75084532691172,66.97664262172319
haberman,1.8818851138522463,1.5787878277473415,-0.27994872530265397,-0.14984702863774138,9.282010102638019,14.110643923696642
hdcleveland,1.6661541675633866,1.6712069033445853,0.2169619363566205,0.17468517530568503,43.32064593236467,32.76334739443543
hdhung,1.9604984768477067,1.9115194322934854,0.2397783278684357,0.07900924324243483,62.52623483519037,36.86598674019147
hdswis,1.8568208152633303,1.8953939532735298,0.03896989631447489,0.06286262523995768,13.364603536008437,15.04011922461283
hdva,2.2345123652644117,1.8810861632554052,0.14136618197413012,0.041232162158612466,32.21260230165227,16.20970918940451
heart,1.7879672842798287,1.6523097101603375,0.14877312373641227,0.1944906072368829,33.95700488102215,32.93886612906722
hepatitis,2.6877219041523386,2.632984691690763,0.10221099092209635,0.10762681876044512,14.554948101640523,15.061517143667272
horse,4.134019116759752,2.935671272268745,-0.09065038025775872,-0.10318541314492274,5.581240426926114,7.257448370095158
hypothyroid,1.5255418362451094,1.688113618261681,0.3239884858022421,0.23628334040059223,494.048055427434,851.611387805776
image,1.6152835891268866,2.0411559727748068,0.33224600446165387,0.16145364937184045,1073.6520104149974,842.3368971098412
imports-85,1.967406374513547,1.8487305164983192,0.274372101685039,0.03529967357693245,22.8813452806977,23.041056461838213
ionosphere,2.521719337215714,2.204312521071046,0.011420135417422499,0.07870938070483234,22.140930875453655,28.266457537385172
iris,0.4935279098182132,2.1073382661116926,0.485043991039147,0.32083082985061084,195.41458285934974,153.361540211034
liverdisorder,1.4873684359489696,2.1743663826431785,0.5227651233641178,-0.3082526849517887,61.73427237682028,3.582675383463323
machine,1.7300624530628006,1.574582366063833,0.1572119419162472,-0.179030146053582,25.445572800943015,5.573020903528153
new-thyroid,2.002667180530543,2.6409754961387173,0.43367746346240266,-0.1590790562151457,27.552865221284115,9.618603736182553
pima,1.4843131354921864,1.5622980356009677,0.48407501002973924,-0.20025051485915465,12.360941275909834,20.497282547049064
segment,1.6152835613484415,3.2835850659365358,0.3322460215357155,0.24021646932957916,1073.652019091885,1119.1946999852344
segmentation,1.8449721285296832,1.979009139857875,0.31991811605556353,0.16634994061807631,71.1926081783263,43.854676403843
sick-euthyroid,1.5558195152574905,1.6205076888504688,0.21792127429694572,0.1897588558758758,359.6313053965107,656.0237893797687
SPECTF_heart,1.9474789465987885,2.114206294136187,0.2935670081476087,-0.13694355559528926,64.55123947495264,8.07199183747783
svmguide1,2.4922383177310263,1.5092469501149313,-0.12115081521554646,0.20253528007646335,174.9053417961906,646.2132829878719
tae,0.7441577137334159,1.2499457144812929,0.5147369191057724,0.3032303187901537,79.75468139186144,69.63993351913467
thyroid,3.0430084156368653,3.9374490926281847,0.5288858132242401,0.006680745548702459,20.438696592842923,5.148580987893395
titanic,0.6290246625953229,0.19978819195963352,0.9464338651240346,0.9777786818071715,3609.0680718157687,32472.3652610351
vehicle,1.4513586088514288,2.5061256671788446,0.380231771335467,0.08485816236546335,10.933266534417047,14.454176845516592
waveform,68.30138437574828,2.5382073645001006,0.050344089841557436,-0.13423031476690414,0.6313533080338385,263.2353809924613
wine,2.920829167784868,2.0046702006641066,0.20409978452740918,0.023582806545090824,38.01346324217518,31.727924870081782
wisconsin,0.8178729244544746,2.7373460284256126,0.5659276054136346,0.4806581559502393,882.4104787565277,490.57592943612235
yeast,0.6162274053763822,1.8372500397159317,0.5878359910895303,-0.33872946107303703,125.09826360644902,28.49660244160833
zoo_cont,1.0598931130535167,2.2680107982871283,0.039388162720914624,0.3424925916830732,8.640245512369358,29.87499665866896
